Model,Strict_Total,Strict_Safe_Rate,Strict_AUROC,Strict_AUARC,Relaxed_Total,Relaxed_Safe_Rate,Relaxed_AUROC,Relaxed_AUARC,Mean_Unc,Median_Unc,Safe_Unc,Unsafe_Unc,Gap
Qwen2.5-Coder-3B-Instruct (Base),100,0.5800,0.4220,0.8236,100,0.9300,0.2704,0.8236,4.5355,4.5902,4.5604,4.2056,-0.3548
AZR-Coder-3b (Evolved),100,0.1300,0.1733,0.3850,100,0.6000,0.1950,0.3850,4.1552,4.1292,4.4121,3.7699,-0.6422
Qwen2.5-Coder-7B-Instruct (Base),100,0.8600,0.7807,0.9811,100,0.9900,0.7980,0.9811,3.7636,4.0708,3.7567,4.4453,0.6886
AZR-Coder-7b (Evolved),100,0.2900,0.3307,0.4784,100,0.7300,0.2253,0.4784,4.1724,4.1849,4.3487,3.6958,-0.6529
Qwen2.5-Coder-14B-Instruct (Base),100,0.9600,0.7109,0.9884,100,1.0000,,0.9884,3.8098,4.0099,3.8098,,
AZR-Coder-14b (Evolved),100,0.2500,0.2560,0.4438,100,0.6400,0.2977,0.4438,4.0564,3.9700,4.2198,3.7658,-0.4540
Qwen2.5-7B-Instruct (Base, Non-Coder),100,0.6900,0.3263,0.7974,100,0.9400,0.1436,0.7974,4.1330,4.0998,4.1722,3.5181,-0.6542
AZR-Base-7b (Evolved, Non-Coder),100,0.4200,0.3366,0.5813,100,0.7700,0.2422,0.5813,4.1972,4.1964,4.3138,3.8067,-0.5072
3B Base (Cleaned),100,0.5800,0.4667,0.8502,100,0.9300,0.3272,0.8502,4.6973,4.7206,4.7103,4.5250,-0.1853
3B Evolved (Cleaned),100,0.1300,0.2095,0.4666,100,0.6000,0.3158,0.4666,4.5407,4.5371,4.6797,4.3320,-0.3477
3B Base (Embedding (4B)),100,0.5800,0.4253,0.8545,100,0.9300,0.3057,0.8545,4.3078,4.3385,4.3272,4.0496,-0.2776
3B Evolved (Embedding (4B)),100,0.1300,0.1034,0.3639,100,0.6000,0.1546,0.3639,4.2388,4.2080,4.4983,3.8496,-0.6487
3B Base (Rank 30),100,0.5800,0.4286,0.8244,100,0.9300,0.2627,0.8244,4.4682,4.4877,4.4933,4.1346,-0.3587
3B Evolved (Rank 30),100,0.1300,0.1821,0.3808,100,0.6000,0.1842,0.3808,4.1012,4.1050,4.3649,3.7056,-0.6592
3B Base (Assistant Only),100,0.5800,0.5053,0.8557,100,0.9300,0.4639,0.8557,4.8422,4.9545,4.8486,4.7566,-0.0920
3B Evolved (Assistant Only),100,0.1300,0.3015,0.4386,100,0.6000,0.2867,0.4386,4.3929,4.4172,4.5859,4.1034,-0.4826
3B Base (User Only),100,0.5800,0.5246,0.8997,100,0.9300,0.6267,0.8997,12.8812,12.0000,12.9367,12.1429,-0.7939
3B Evolved (User Only),100,0.1300,0.4315,0.5855,100,0.6000,0.6362,0.5855,12.8812,12.0000,11.3667,15.1529,3.7862
3B Base (Time (Exp)),100,0.5800,0.4216,0.8231,100,0.9300,0.2704,0.8231,4.5401,4.5799,4.5652,4.2054,-0.3599
3B Evolved (Time (Exp)),100,0.1300,0.1857,0.3828,100,0.6000,0.1879,0.3828,4.1460,4.1354,4.4062,3.7556,-0.6506
3B Base (Time (Linear)),100,0.5800,0.4216,0.8231,100,0.9300,0.2704,0.8231,4.5401,4.5799,4.5652,4.2054,-0.3599
3B Evolved (Time (Linear)),100,0.1300,0.1857,0.3828,100,0.6000,0.1879,0.3828,4.1460,4.1354,4.4062,3.7556,-0.6506
3B Base (Time (Cutoff)),100,0.5800,0.4220,0.8236,100,0.9300,0.2704,0.8236,4.5355,4.5902,4.5604,4.2056,-0.3548
3B Evolved (Time (Cutoff)),100,0.1300,0.1733,0.3850,100,0.6000,0.1950,0.3850,4.1552,4.1292,4.4121,3.7699,-0.6422
3B Base (Time (Sigmoid)),100,0.5800,0.4216,0.8231,100,0.9300,0.2704,0.8231,4.5401,4.5799,4.5652,4.2054,-0.3599
3B Evolved (Time (Sigmoid)),100,0.1300,0.1857,0.3828,100,0.6000,0.1879,0.3828,4.1460,4.1354,4.4062,3.7556,-0.6506
3B Base (Time (Log)),100,0.5800,0.4216,0.8231,100,0.9300,0.2704,0.8231,4.5401,4.5799,4.5652,4.2054,-0.3599
3B Evolved (Time (Log)),100,0.1300,0.1857,0.3828,100,0.6000,0.1879,0.3828,4.1460,4.1354,4.4062,3.7556,-0.6506
